title,company,location,job_url
Logistics Coordinator,Executive Search- Merojob,Nepal,https://merojob.com/logistics-coordinator-12
Mechanical Designer / Mechanical Engineer,Executive Search- Merojob,Nepal,https://merojob.com/mechanical-designer-5
Regional Information Security Officer,GIZ,Nepal,https://merojob.com/gedsi-technical-advisor-2
Construction Overseer,East West Concern,Nepal,https://merojob.com/overseer-45
Production Manager,Pepe Icecream and Dairy,Nepal,https://merojob.com/production-manager-119
Lab Technician,Pepe Icecream and Dairy,Nepal,https://merojob.com/lab-technician-140
Poster Staff,A Company,Nepal,https://merojob.com/poster-staff
Sales and Marketing Officer,RV Group,Nepal,https://merojob.com/sales-and-marketing-officer-341
Sales and Marketing Manager - Real Estate,RV Group,Nepal,https://merojob.com/sales-and-marketing-manager-real-estate
Accountant,A Group of Companies,Nepal,https://merojob.com/accountant-4071
Finance Officer,A Group of Companies,Nepal,https://merojob.com/ca-intern
Front Office Manager / Executive,Royal Singi Hotel,Nepal,https://merojob.com/front-office-manager-executive-2
SEO and Content Strategist,Trekking Planner,Nepal,https://merojob.com/seo-executive-content-writer
Executive Secretary,Brihat Group,Nepal,https://merojob.com/executive-secretary-163
Videography Lecturer,IEC School of Analytics,Nepal,https://merojob.com/videographer-faculty
Study Abroad Counselor,The Metaphor Consultancy - IEC Group,Nepal,https://merojob.com/study-abroad-counselor-18
Senior Chemical Engineer – Refinery Operations,Precious Waste Refinery,Nepal,https://merojob.com/senior-chemical-engineer-refinery-operations
Sales Executive,Career Publishers and Distributors (Hamro Pustak),Nepal,https://merojob.com/sales-executive-1311
Marketing Associate,Merojob,Nepal,https://merojob.com/marketing-associate-61
Content Writer,Merojob,Nepal,https://merojob.com/content-writer-629
Engineering Manager,Soaltee Westend Lakeside Pokhara,Nepal,https://merojob.com/engineering-manager-41
Malware Analyst,Simjung,Nepal,https://merojob.com/malware-analyst
Senior Quality Control (QC) Manager,Khangri Sourcing USA,Nepal,https://merojob.com/senior-quality-control-qc-manager
